* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek(R) Audio), MICROPHONE (־בשאÿ דנמלךמסעü), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.08.2024 12:39:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R אגד 13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
345.000000	76.110	-136.4816
350.000000	76.076	-136.8033
355.000000	76.017	-137.1840
360.000000	75.990	-137.5538
365.000000	75.947	-137.8397
370.000000	75.920	-138.1904
375.000000	75.890	-138.4999
382.000000	75.833	-139.0347
387.000000	75.815	-139.3724
395.000000	75.761	-139.8032
400.000000	75.738	-139.9424
406.000000	75.713	-140.5304
412.000000	75.679	-140.7957
418.000000	75.631	-141.1912
425.000000	75.576	-141.5671
431.000000	75.599	-141.7795
437.000000	75.573	-141.9593
444.000000	75.535	-142.4491
450.000000	75.489	-142.5239
455.000000	75.487	-142.7654
462.000000	75.443	-143.0332
468.000000	75.439	-143.1848
475.000000	75.439	-143.4739
482.000000	75.404	-143.6545
487.000000	75.394	-144.0312
494.000000	75.378	-143.9913
500.000000	75.377	-144.3240
508.000000	75.367	-144.4929
515.000000	75.340	-144.7657
522.000000	75.341	-144.9028
530.000000	75.329	-145.1155
538.000000	75.334	-145.4045
545.000000	75.348	-145.4854
552.000000	75.346	-145.8325
560.000000	75.335	-146.0680
570.000000	75.360	-146.2865
580.000000	75.391	-146.6350
590.000000	75.424	-146.9617
600.000000	75.459	-147.2801
608.000000	75.482	-147.6537
615.000000	75.501	-147.9644
622.000000	75.522	-148.3565
630.000000	75.536	-148.8882
640.000000	75.548	-149.5162
650.000000	75.553	-150.3372
660.000000	75.557	-151.0255
670.000000	75.493	-152.0361
680.000000	75.416	-152.7773
690.000000	75.352	-153.3091
700.000000	75.244	-154.1299
710.000000	75.104	-154.4042
720.000000	74.982	-154.4734
730.000000	74.881	-154.3541
740.000000	74.753	-154.1420
750.000000	74.652	-153.9185
762.000000	74.587	-153.5208
775.000000	74.559	-152.6480
788.000000	74.559	-152.1663
800.000000	74.531	-151.4810
812.000000	74.506	-150.9218
825.000000	74.568	-150.4596
838.000000	74.601	-150.1315
850.000000	74.649	-149.7711
862.000000	74.734	-149.1336
875.000000	74.789	-148.8708
885.000000	74.844	-148.6447
900.000000	74.946	-148.5044
912.000000	74.988	-148.2651
925.000000	75.074	-147.8702
938.000000	75.171	-147.8871
950.000000	75.243	-147.3746
962.000000	75.295	-147.1846
975.000000	75.356	-146.8934
988.000000	75.478	-146.6849
1000.000000	75.537	-146.2845
1015.000000	75.665	-146.3332
1030.000000	75.788	-145.7881
1044.000000	75.857	-145.3698
1060.000000	75.978	-144.9478
1075.000000	76.095	-144.7933
1090.000000	76.239	-144.7776
1106.000000	76.342	-144.5366
1120.000000	76.433	-144.4386
1138.000000	76.491	-144.0205
1150.000000	76.537	-144.1447
1172.000000	76.632	-143.5155
1180.000000	76.671	-143.3141
1206.000000	76.768	-142.3832
1220.000000	76.879	-142.1202
1241.000000	76.954	-141.4479
1250.000000	77.004	-141.2770
1265.000000	77.071	-140.9997
1280.000000	77.163	-140.4854
1315.000000	77.320	-139.6155
1320.000000	77.339	-139.3792
1340.000000	77.468	-138.8606
1360.000000	77.541	-138.6652
1380.000000	77.688	-138.1201
1400.000000	77.741	-137.6385
1430.000000	77.886	-136.8813
1450.000000	77.974	-136.6170
1475.000000	78.061	-136.1854
1500.000000	78.185	-135.4327
1525.000000	78.313	-134.9741
1550.000000	78.441	-134.5369
1575.000000	78.574	-134.1908
1600.000000	78.661	-133.7604
1625.000000	78.801	-133.3624
1650.000000	78.915	-132.9265
1675.000000	79.050	-132.5571
1700.000000	79.171	-132.1582
1725.000000	79.301	-131.7417
1750.000000	79.452	-131.5618
1775.000000	79.577	-131.2823
1800.000000	79.706	-130.9237
1825.000000	79.871	-130.8292
1850.000000	80.023	-130.4457
1875.000000	80.137	-130.3113
1900.000000	80.309	-130.1191
1925.000000	80.477	-129.9769
1950.000000	80.616	-130.0149
1975.000000	80.779	-129.8429
2000.000000	80.937	-129.8438
2030.000000	81.127	-130.0347
2060.000000	81.309	-130.2203
2090.000000	81.481	-130.3883
2120.000000	81.674	-130.7432
2140.000000	81.813	-130.9519
2180.000000	82.037	-131.5868
2200.000000	82.150	-131.7913
2240.000000	82.386	-132.5745
2270.000000	82.560	-133.1767
2300.000000	82.730	-133.8555
2330.000000	82.857	-134.6649
2360.000000	82.997	-135.4360
2400.000000	83.145	-136.5126
2430.000000	83.262	-137.4990
2470.000000	83.402	-138.6356
2500.000000	83.475	-139.6172
2540.000000	83.575	-140.9368
2580.000000	83.654	-142.2649
2620.000000	83.710	-143.3528
2650.000000	83.738	-144.2914
2690.000000	83.763	-145.4167
2720.000000	83.799	-146.3760
2760.000000	83.799	-147.4222
2800.000000	83.803	-148.6025
2850.000000	83.785	-150.0311
2900.000000	83.714	-151.4299
2950.000000	83.608	-152.8170
3000.000000	83.472	-153.7975
3040.000000	83.366	-154.5795
3070.000000	83.287	-155.0792
3110.000000	83.152	-155.4384
3150.000000	83.038	-155.6442
3200.000000	82.908	-155.8694
3250.000000	82.761	-155.8691
3300.000000	82.656	-155.8389
3350.000000	82.540	-155.5990
3400.000000	82.422	-155.2694
3450.000000	82.337	-155.0157
3500.000000	82.265	-154.7762
