* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek(R) Audio), MICROPHONE (־בשאÿ דנמלךמסעü), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.08.2024 12:35:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L אגד 13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
345.000000	76.469	-130.7032
350.000000	76.422	-131.2078
355.000000	76.361	-131.4551
360.000000	76.338	-131.8983
365.000000	76.286	-132.2444
370.000000	76.250	-132.7519
375.000000	76.200	-133.1978
382.000000	76.180	-133.6536
387.000000	76.118	-133.9463
395.000000	76.073	-134.4547
400.000000	76.043	-134.8612
406.000000	76.033	-135.2073
412.000000	75.997	-135.5259
418.000000	75.974	-135.9221
425.000000	75.953	-136.2854
431.000000	75.930	-136.6110
437.000000	75.885	-136.8505
444.000000	75.851	-137.2933
450.000000	75.844	-137.4702
455.000000	75.841	-137.7825
462.000000	75.814	-138.1259
468.000000	75.790	-138.5292
475.000000	75.763	-138.8629
482.000000	75.782	-139.0614
487.000000	75.765	-139.1628
494.000000	75.732	-139.5051
500.000000	75.731	-139.7457
508.000000	75.731	-139.9698
515.000000	75.703	-140.2863
522.000000	75.722	-140.3857
530.000000	75.722	-140.7083
538.000000	75.769	-140.9951
545.000000	75.764	-140.9906
552.000000	75.788	-141.4509
560.000000	75.792	-141.6564
570.000000	75.835	-142.0576
580.000000	75.877	-142.4919
590.000000	75.952	-142.8613
600.000000	76.007	-143.4182
608.000000	76.084	-143.8359
615.000000	76.119	-144.5752
622.000000	76.180	-145.1930
630.000000	76.229	-146.0875
640.000000	76.295	-147.2690
650.000000	76.297	-148.8010
660.000000	76.266	-150.6657
670.000000	76.161	-152.1691
680.000000	75.954	-153.7966
690.000000	75.719	-154.8691
700.000000	75.455	-155.3335
710.000000	75.167	-155.1199
720.000000	74.983	-154.7247
730.000000	74.808	-153.9077
740.000000	74.700	-153.3079
750.000000	74.659	-152.3294
762.000000	74.601	-151.3237
775.000000	74.553	-150.5277
788.000000	74.587	-149.9690
800.000000	74.610	-149.1337
812.000000	74.674	-148.5953
825.000000	74.707	-148.1843
838.000000	74.751	-147.8347
850.000000	74.858	-147.5292
862.000000	74.921	-147.3580
875.000000	74.996	-146.8646
885.000000	75.045	-146.6072
900.000000	75.113	-146.4846
912.000000	75.195	-146.2988
925.000000	75.259	-146.2190
938.000000	75.336	-146.1398
950.000000	75.428	-145.6254
962.000000	75.495	-145.5352
975.000000	75.585	-145.3156
988.000000	75.682	-144.9580
1000.000000	75.723	-144.6801
1015.000000	75.849	-144.5658
1030.000000	75.957	-144.3024
1044.000000	76.104	-144.1693
1060.000000	76.175	-144.0594
1075.000000	76.276	-143.7004
1090.000000	76.370	-143.5882
1106.000000	76.455	-143.2455
1120.000000	76.523	-142.7555
1138.000000	76.636	-142.5786
1150.000000	76.684	-142.1262
1172.000000	76.826	-141.5767
1180.000000	76.915	-141.5143
1206.000000	77.086	-140.8842
1220.000000	77.190	-140.4718
1241.000000	77.266	-140.1038
